Ref,Message Intent,Message Element,Resp,Data link system
UM  129,Instruction to report when the aircraft is in  level flight at the specified level.  Note.—  This  message  element  is  only  to  be used with single altitude clearances.,REPORT  MAINTAINING  [level]  or  REPORT LEVEL [altitude],W/U  or  R,FANS 1/A
UM  175,"(Reserved)  Note.—  Avoid  use  of  this  message  element, REPORT REACHING [level], as  it is reserved in ICAO Doc 4444.",N/A,W/U  or  R,FANS 1/A
UM  200,Instruction  used  in  conjunction  with  a  level  clearance  to  report  maintaining  the  level assigned.,REPORT MAINTAINING  W/U,,N/A
UM  180,Instruction  to  report  when  the  aircraft  is  within the specified vertical range.,REPORT  REACHING  BLOCK [level] TO [level],W/U  or  R,FANS 1/A
UM  130,Instruction to report when the aircraft has  passed the specified position.,REPORT  PASSING  [position],W/U  or  R,FANS 1/A
UM  181,Instruction  to  report  the  present  distance  to or from the specified position.,REPORT  DISTANCE  [to/from] [position],Y  or  NE,FANS 1/A
UM  184,Instruction  to  report  at  the  specified  time  the  distance  to  or  from  the  specified  position.,AT  TIME  [time]  REPORT  DISTANCE  [to/from]  [position],Y,N/A
UM  228,Instruction to report the estimated time of  arrival at the specified position.  FANS 1/A.—  Uses  UM  169d  free  text  for  FANS 1/A aircraft.,REPORT ETA [position],D Y  M 104,FANS 1/A  [free text]
UM  131,Instruction  to  report  the  amount  of  fuel  remaining  and  the  number  of  persons  on  board.,REPORT  REMAINING  FUEL  AND  PERSONS  ON  BOARD  or  REPORT  REMAINING  FUEL  AND  SOULS ON BOARD,Y  or  NE,FANS 1/A  (Urgent)
UM  132,Instruction to report the present position.,REPORT  POSITION  or  CONFIRM POSITION,Y  or  NE,FANS 1/A
UM  133,Instruction to report the present level.,REPORT  PRESENT  LEVEL  or  CONFIRM  ALTITUDE,D Y  or  NE  M 32,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  134,Instruction to report the requested speed.  Note.—  Instruction  to  report  the  present  speed.  FANS 1/A.—  Uses  UM  169b  free  text  for  FANS 1/A  aircraft  when  the  controller  is  requesting  the  flight  crew  to  report  the  present ground speed.,REPORT  [speed  type]  [speed  type]  [speed  type]  SPEED  or  CONFIRM  SPEED,D Y  or  NE  or  R  M 113,FANS 1/A  [free text]
UM  135,Instruction  to  confirm  the  currently  assigned level.,CONFIRM  ASSIGNED  LEVEL  or  CONFIRM  ASSIGNED ALTITUDE,D Y  or  NE  M 38  DM 77  (TBC),FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  136,Instruction  to  confirm  the  currently  assigned speed.,CONFIRM  ASSIGNED  SPEED,Y  or  NE,FANS 1/A
UM  137,Instruction  to  confirm  the  currently  assigned route.,CONFIRM  ASSIGNED  ROUTE,Y  or  NE,FANS 1/A
UM  138,Instruction  to  confirm  the  previously  reported  time  over  the  last  reported  waypoint.,CONFIRM  TIME  OVER  REPORTED WAYPOINT,Y  or  NE,FANS 1/A
UM  139,Instruction  to  confirm  the  identity  of  the  previously reported waypoint.,CONFIRM  REPORTED  WAYPOINT,Y  or  NE,FANS 1/A
UM  140,Instruction  to  confirm  the  identity  of  the  next waypoint.,CONFIRM  NEXT  WAYPOINT,Y  or  NE,FANS 1/A
UM  141,Instruction  to  confirm  the  previously  reported  estimated  time  at  the  next  waypoint.,CONFIRM  NEXT  WAYPOINT ETA,Y  or  NE,FANS 1/A
UM  142,Instruction  to  confirm  the  identity  of  the  next but one waypoint.,CONFIRM  ENSUING  WAYPOINT,Y  or  NE,FANS 1/A
UM  143,The request was not understood. It should  be clarified and resubmitted.,CONFIRM REQUEST,Y  or  NE,FANS 1/A
UM  144,Instruction  to  report  the  selected  (SSR)  code.,CONFIRM SQUAWK,Y  or  NE,FANS 1/A
UM  145,Instruction to report the present heading.,REPORT  HEADING  or  CONFIRM HEADING,Y  or  NE,FANS 1/A
UM  146,Instruction  to  report  the  present  ground  track.,REPORT  GROUND  TRACK  or  CONFIRM  GROUND TRACK,Y  or  NE,FANS 1/A
UM  182,Instruction  to  report  the  identification  code of the last ATIS received.,CONFIRM ATIS CODE,Y  or  NE,FANS 1/A
UM  147,Instruction to make a position report.  Note.—  To  be  used  if  the  controller  does  not receive a scheduled position report.,REQUEST  POSITION  REPORT,Y  or  NE,FANS 1/A
UM  216,Instruction to file a flight plan.,REQUEST FLIGHT PLAN,Y,N/A
UM  217,Instruction  to  report  that  the  aircraft  has  landed.,REPORT ARRIVAL,Y,N/A
UM  229,Instruction  to  report  the  preferred  alternate aerodrome for landing.,REPORT  ALTERNATE  AERODROME,Y,N/A
UM  231,Instruction to indicate the pilot’s preferred  level.  FANS 1/A  and  FANS 1/A-ATN B1.—  uses  UM 169c free text for FANS 1/A aircraft.,STATE  PREFERRED  LEVEL,D Y  M 106,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  232,Instruction to indicate the pilot’s preferred  time and/or position to commence descent  to the aerodrome of intended arrival.  FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169aa free text for FANS 1/A aircraft.,STATE  TOP  OF  DESCENT,D Y  M 109,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  148,Request for the earliest time or position at  which the specified level can be accepted.,WHEN  CAN  YOU  ACCEPT [level],D Y  or  NE  M 81  DM 82,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  149,Instruction  to  report  whether  or  not  the  specified  level  can  be  accepted  at  the  specified position.,CAN  YOU  ACCEPT  [level] AT [position],A/N,FANS 1/A
UM  150,Instruction  to  report  whether  or  not  the  specified  level  can  be  accepted  at  the  specified time.,CAN  YOU  ACCEPT  [level] AT [time],A/N,FANS 1/A
UM  151,Instruction  to  report  the  earliest  time  or  position  when  the  specified  speed  can  be  accepted.,WHEN  CAN  YOU  ACCEPT [speed],D Y  or  NE  M 83  DM 84,FANS 1/A
UM  152,Instruction  to  report  the  earliest  time  or  position  when  the  specified  offset  track  can be accepted.,WHEN  CAN  YOU  ACCEPT  [specified  distance]  [direction]  OFFSET,D Y  or  NE  M 85  DM 86,FANS 1/A
UM  153,ATS  advisory  that  the  altimeter  setting  should be the specified setting.,ALTIMETER [altimeter],R,FANS 1/A
UM  213,ATS  advisory  that  the  specified  altimeter  setting relates to the specified facility.   FANS 1/A and FANS 1/A-ATN B1.— Uses  UM 169y free text for FANS 1/A aircraft.,[facility  designation]  ALTIMETER [altimeter],R,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  154,ATS  advisory  that  the  radar  service  is  terminated.,RADAR  SERVICE  TERMINATED  or  RADAR  SERVICES  TERMINATED,R,FANS 1/A
UM  244,ATS  advisory  that  the  radar  and/or  ADS-B service is terminated.  FANS 1/A.—  uses  UM  169aj  free  text  for  FANS 1/A aircraft.,IDENTIFICATION  TERMINATED,R,FANS 1/A  [free text]
UM  191,ATS  advisory  that  the  aircraft  is  entering  airspace  in  which  no  air  traffic  services  are  provided  and  all  existing  air  traffic  services are terminated.,ALL ATS TERMINATED,R,N/A
UM  155,ATS advisory that radar contact has been  established at the specified position.,RADAR  CONTACT  [position],R,FANS 1/A
UM  156,ATS advisory that radar contact has been  lost.,RADAR CONTACT LOST,R,FANS 1/A
UM  210,ATS  advisory  that  the  aircraft  has  been  identified  on  radar  and/or  ADS-B  at  the  specified position.,IDENTIFIED [position],R,N/A
UM  193,Notification  that  radar  and/or  ADS-B  identification has been lost.,IDENTIFICATION LOST,R,N/A
UM  157,Instruction that a continuous transmission  is  detected  on  the  specified  frequency.  Check the microphone button.,CHECK  STUCK  MICROPHONE  [frequency],N  or  R,FANS 1/A  ATN B1   FANS 1/A- ATN B1  (Urgent)
UM  158,ATS  advisory  that  the  ATIS  information  identified  by  the  specified  code  is  the  current ATIS information.,ATIS [atis code],R,FANS 1/A
UM  212,ATS  advisory  that  the  specified  ATIS  information  at  the  specified  airport  is  current.,[facility  designation]  ATIS  [atis code] CURRENT,R,N/A
UM  214,ATS  advisory  that  indicates  the  RVR  value for the specified runway.,RVR  RUNWAY  [runway]  [rvr],R,N/A
UM  224,ATS advisory that no delay is expected.,NO DELAY EXPECTED,R,N/A
UM  225,ATS advisory that the expected delay has  not been determined.,DELAY  NOT  DETERMINED,R,N/A
UM  226,ATS advisory that the aircraft may expect  to  be  cleared  to  commence  its  approach  procedure at the specified time.,EXPECTED  APPROACH  TIME [time],R,N/A
UM  159,A  system  generated  message  notifying  that  the  ground  system  has  detected  an  error.,ERROR [error information],N   or  NE,FANS 1/A  ATN B1   FANS 1/A- ATN B1  (Urgent)
UM  160,"Notification  to  the  avionics  that  the  specified  data  authority  is  the  next  data  authority. If no data authority is specified,  this indicates that any previously specified  next data authority is no longer valid.",NEXT  DATA  AUTHORITY  [facility  designation],N   or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  161,Notification  to  the  avionics  that  the  data  link  connection  with  the  current  data  authority is being terminated.,END SERVICE,N  or  NE,FANS 1/A
UM  162,Notification  that  the  ground  system  does  not support this message.  FANS 1/A and FANS 1/A ATN B1.— Uses  UM 169u free text for FANS 1/A aircraft.,MESSAGE  NOT  SUPPORTED  BY  THIS  ATS  UNIT  or  SERVICE  UNAVAILABLE,N  or  NE,FANS 1/A  [free text]  ATN B1  FANS 1/A- ATN B1
UM  234,Notification  that  the  ground  system  does  not have a flight plan for that aircraft.,FLIGHT  PLAN  NOT  HELD,N,N/A
UM  163,Notification  to  the  pilot  of  an  ATSU  identifier.,[facility  designation]  or  [icao  facility  designation]  [tP4+Table],N   or  NE,FANS 1/A
UM  227,Confirmation  to  the  aircraft  system  that  the  ground  system  has  received  the  message  to  which  the  logical  acknowledgement  refers  and  found  it  acceptable  for  display  to  the  responsible  person.  FANS 1/A-ATN B1.—  ATN B1  only.    Not  available for FANS 1/A.,LOGICAL  ACKNOWLEDGEMENT,N,ATN B1  FANS 1/A- ATN B1
UM  233,Notification to the pilot that messages sent  requiring a logical acknowledgement  will  not be accepted by this ground system.,USE  OF  LOGICAL  ACKNOWLEDGEMENT  PROHIBITED,N,N/A
UM  164,The  associated  instruction  may  be  complied with at any future time.  Note.—  See  also  UM  177  AT  PILOTS  DISCRETION.,WHEN READY,N  or  NE,FANS 1/A
UM  230,The  associated  instruction  is  to  be  complied with immediately.,IMMEDIATELY,N,N/A  (Distress)
UM  165,"Used to link two messages, indicating the  proper  order  of  execution  of  clearances/  instructions.",THEN,N  or  NE,FANS 1/A  ATN B1  FANS 1/A- ATN B1
UM  166,The associated instruction is issued due to  traffic considerations.,DUE  TO  [traffic  type]  TRAFFIC  or  DUE  TO  TRAFFIC,N  or  NE,FANS 1/A
UM  167,The associated instruction is issued due to  airspace restrictions.,DUE  TO  AIRSPACE  RESTRICTION,N  or  NE,FANS 1/A
UM  168,"The  indicated  communication  should  be  ignored.  Note.—  The  previously  sent  uplink  CPDLC  message  should  be  ignored.  DISREGARD  should  not  refer  to  a  clearance  or  instruction.  If  DISREGARD  is used, another element should be added  to  clarify  which  message  is  to  be  disregarded.",DISREGARD,R,FANS 1/A
UM  176,Instruction that the pilot is responsible for  maintaining  separation  from  other  traffic  and  is  also  responsible  for  maintaining  visual meteorological conditions.,MAINTAIN  OWN  SEPARATION AND VMC,W/U,FANS 1/A
UM  177,"N   N Used  in  conjunction  with  a  clearance/instruction  to  indicate  that  the  pilot may execute when prepared to do so. Note 1.—  When used in conjunction with  altitude assignments, means that ATC has  offered  the  pilot  the  option  of  starting  climb  or  descent  whenever  he/she  wishes  and  conducting  the  climb  or  descent  at  any  rate  he/she  wishes.  He/she  may  temporarily  level  off  at  any  intermediate  altitude.  However,  once  he/she  has  vacated an altitude, he/she may not return  to that altitude.  ote  2.—    There  are  considerable  differences regarding the interpretation of  “pilot’s  discretion”  and  “when  ready”  and their meanings/intended uses.    ote  3.—  See  also  UM  164  WHEN  READY.",AT PILOTS DISCRETION,N,FANS 1/A
UM  178,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  TRACK  DETAIL  MESSAGE,  as  it is reserved in ICAO Doc 4444.",(not defined),Y  or  W/U,FANS 1/A
UM  169,"Normal  urgency  attribute,  low  alert  attribute   FANS 1/A  –  ATN B1.—  FANS 1/A  only.   Ground  system  uses  UM  183  [free  text]  for ATN B1 aircraft.",[free text],R,FANS 1/A  FANS 1/A- ATN B1
UM  170,"Distress  urgency  attribute,  high  alert  attribute",[free text],R,FANS 1/A
UM  183,"Normal  urgency  attribute,  medium  alert  attribute  FANS 1/A-ATN B1.—  ATN B1  only.   Ground  system  uses  UM  169  [free  text]  for FANS 1/A aircraft.",[free text],N,ATN B1  FANS 1/A- ATN
UM  187,"low urgency, normal alert",[free text],N,N/A
UM  194,"normal urgency, low alert",[free text],Y,N/A
UM  195,"low urgency, low alert",[free text],R,N/A
UM  196,"normal urgency, medium alert",[free text],W/U,ATN B1  FANS 1/A- ATN B1
UM  197,"urgent urgency, medium alert",[free text],W/U,N/A  (Urgent)
UM  198,"distress urgency, high alert",[free text],W/U,N/A  (Distress)
UM  199,"normal urgency, low alert",[free text],N,N/A
UM  201,"Not used, low urgency, low alert",[free text],N,N/A
UM  202,"Not used, low urgency, low alert",[free text],N,N/A
UM  203,"normal urgency, medium alert",[free text],R,N/A
UM  204,"normal urgency, medium alert",[free text],Y,N/A
UM  205,"normal urgency, medium alert",[free text],A/N,N/A
UM  206,"low urgency, normal alert",[free text],Y,N/A
UM  207,"low urgency, low alert",[free text],Y,N/A
UM  208,"low urgency, low alert",[free text],N,N/A
DM  0,The instruction is understood and will be  complied with.,WILCO,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  1,The instruction cannot be complied with.,UNABLE,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  2,Wait for a reply.  Note.—  The  controller  is  informed  that  the  request  is  being  assessed  and  there  will  be  a  short-term  delay  (within  10  minutes). The exchange is not closed and  the  request  will  be  responded  to  when  conditions allow.,STANDBY,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  3,Message received and understood.  Note.—  ROGER  is  the  only  correct  response  to  an  uplink  free  text  message.  Under no circumstances will ROGER be  used instead of AFFIRM.,ROGER,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  4,Yes.  Note.—  AFFIRM  is  an  appropriate  response  to  an  uplinked  negotiation  request  message  (e.g.  UM  150  CAN  YOU ACCEPT [level] at [time]).,AFFIRM,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  5,No.  Note.—  NEGATIVE  is  an  appropriate  response  to  an  uplinked  negotiation  request  message  (e.g.  UM  150  CAN  YOU ACCEPT [level] at [time]).,NEGATIVE,N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  6,Request to fly at the specified level.,REQUEST [level],Y  UM 0  UM 1  UM 19  UM 20  UM 23  UM 26  UM 27  UM 28  UM 29  UM 46  UM 47  UM 48  UM 159 +  UM 183  UM 162  UM 211,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  7,"Request  to  fly  at  a  level  within  the  specified vertical range.  FANS 1/A-ATN B1.—  FANS 1/A  aircraft  only.    ATN B1  aircraft  uses  DM  6  REQUEST  [level],  where  [level]  is  a  vertical range.",REQUEST  BLOCK  [level]  TO [level],Y,FANS 1/A  FANS 1/A  –ATN B1
DM  8,Request  to  cruise  climb  to  the  specified  level.  Note.—  Avoid  use  of  this  message  element  due  to  potential  misinterpretation.,REQUEST  CRUISE  CLIMB TO [level],Y,FANS 1/A
DM  9,Request to climb to the specified level.,REQUEST  CLIMB  TO  [level],Y  UM 0  UM 1  UM 19  UM 20  UM 23  UM 26  UM 27  UM 28  UM 29  UM 46  UM 47  UM 48  UM 159 +  UM 183  UM 162  UM 211,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  10,Request to descend to the specified level.,REQUEST  DESCENT  TO  [level],Y  UM 0  UM 1  UM 19  UM 20  UM 23  UM 26  UM 27  UM 28  UM 29  UM 46  UM 47  UM 48  UM 159 +  UM 183  UM 162  UM 211,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  11,Request  that  at  the  specified  position  a  climb to the specified level be approved.,AT  [position]  REQUEST  CLIMB TO [level],Y,FANS 1/A
DM  12,Request  that  at  the  specified  position  a  descent  to  the  specified  level  be  approved.,AT  [position]  REQUEST  DESCENT TO [level],Y,FANS 1/A
DM  13,Request that at the specified time a climb  to the specified level be approved.,AT  [time]  REQUEST  CLIMB TO [level],Y,FANS 1/A
DM  14,Request  that  at  the  specified  time  a  descent  to  the  specified  level  be  approved.,AT  [time]  REQUEST  DESCENT TO [level],Y,FANS 1/A
DM  69,Request that a descent be approved on a  see-and-avoid basis.  Note.—  Avoid  use  of  this  message  element  due  to  potential  misinterpretation.,REQUEST  VMC  DESCENT,Y,FANS 1/A
DM  15,"Request that a parallel track, offset from  the  cleared  track  by  the  specified  distance  in  the  specified  direction,  be  approved.",REQUEST  OFFSET  [specified  distance]  [direction] OF ROUTE,Y,FANS 1/A
DM  16,"Request that a parallel track, offset from  the  cleared  track  by  the  specified  distance  in  the  specified  direction,  be  approved from the specified position.",AT  [position]  REQUEST  OFFSET  [specified  distance]  [direction]  OF  ROUTE,Y,FANS 1/A
DM  17,"Request that a parallel track, offset from  the  cleared  track  by  the  specified  distance  in  the  specified  direction,  be  approved from the specified time.",AT  [time]  REQUEST  OFFSET  [specified  distance]  [direction]  OF  ROUTE,Y,FANS 1/A
DM  18,Request to fly at the specified speed.,REQUEST [speed],Y  UM 0  UM 1  UM 162  UM 211  UM 55  UM 61  UM 106  UM 107  UM 108  UM 109  UM 116  UM 222  UM 159 +  UM 183,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  19,Request to fly within the specified speed  range.,REQUEST  [speed]  TO  [speed],Y,FANS 1/A
DM  20,Request for voice contact.,REQUEST  VOICE  CONTACT,Y,FANS 1/A
DM  21,Request  for  voice  contact  on  the  specified frequency.,REQUEST  VOICE  CONTACT [frequency],Y,FANS 1/A
DM  22,Request  to  track  from  the  present  position direct to the specified position.,REQUEST  DIRECT  TO  [position],Y  UM 0  UM 162  UM 211  UM 74  UM 96  UM 190  UM 159 +  UM 183,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  23,Request  for  the  specified  procedure  clearance.,REQUEST  [procedure  name],Y,FANS 1/A
DM  24,Request for a route clearance.,REQUEST  CLEARANCE  [route  clearance]  or  REQUEST  [route clearance],Y,FANS 1/A
DM  25,Request for a clearance.  Note.— Either pre-departure or route.,REQUEST  [clearance  type]  CLEARANCE  or  REQUEST CLEARANCE,Y,FANS 1/A
DM  26,Request  for  a  weather  deviation  to  the  specified position via the specified route.,REQUEST  WEATHER  DEVIATION TO [position]  VIA [route clearance],Y,FANS 1/A
DM  27,Request for a weather deviation up to the  specified  distance  off  track  in  the  specified direction.,REQUEST  WEATHER  DEVIATION  UP  TO  [specified  distance]  [direction] OF ROUTE,Y  UM 0  UM 162  UM 211  UM 64  UM 74  UM 82  UM 96  UM 190  UM 159 +  UM 183,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  70,Request  a  clearance  to  adopt  the  specified heading.,REQUEST  HEADING  [degrees],Y,FANS 1/A
DM  71,Request  a  clearance  to  adopt  the  specified ground track.,REQUEST  GROUND  TRACK [degrees],Y,FANS 1/A
DM  28,Notification  of  leaving  the  specified  level.,LEAVING [level],N,FANS 1/A
DM  29,Notification  of  climbing  to  the  specified  level.,CLIMBING TO [level],N,FANS 1/A
DM  30,Notification  of  descending  to  the  specified level.,DESCENDING TO [level],N,FANS 1/A
DM  31,Notification  of  passing  the  specified  position.,PASSING [position],N,FANS 1/A
DM  78,"Notification  that  at  the  specified  time,  the aircraft’s position was as specified.",AT  [time]  [distance]  [to/from] [position],N,FANS 1/A
DM  32,Notification of the present level.,PRESENT LEVEL [level]  or  PRESENT  ALTITUDE  [altitude],N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
DM  33,Notification of the present position.,PRESENT  POSITION  [position],N,FANS 1/A
DM  34,Notification of the present speed.,PRESENT SPEED [speed],N,FANS 1/A
DM  113,"Notification of the requested speed.  FANS 1/A.—  Uses  DM  67l  free  text  for  partial  intent.    The  flight  crew  notifies  the  controller  of  present  ground  speed,  in  response  to  UM  169b,  REPORT  GROUND SPEED.",[speed  type]  [speed  type]  [speed  type]  SPEED  [speed],N,FANS 1/A
DM  35,Notification  of  the  present  heading  in  degrees.,PRESENT  HEADING  [degrees],N,FANS 1/A
DM  36,Notification  of  the  present  ground  track  in degrees.,PRESENT  GROUND  TRACK [degrees],N,FANS 1/A
DM  37,Notification  that  the  aircraft  is  maintaining the specified level.,MAINTAINING [level] or  LEVEL [altitude],N,FANS 1/A
DM  72,"(Reserved)  Note.—  Avoid  use  of  this  message  element,  REACHING  [level],  as  it  is  reserved in ICAO Doc 4444.",N/A,N,FANS 1/A
DM  76,Notification that the aircraft has reached  a  level  within  the  specified  vertical  range.,REACHING  BLOCK  [level] TO [level],N,FANS 1/A
DM  38,Read-back of the assigned level.,ASSIGNED  LEVEL  [level]  or  ASSIGNED  ALTITUDE [altitude],N,FANS 1/A  ATN B1  FANS 1/A- ATN B1
